SeniorCitizen,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-3yr,tenure_group_3-4yr,tenure_group_4-6yr,Actual_Churn,Churn_Probability,Predicted_Churn
0,72,114.05,8468.2,116.00273972602741,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,0.1723297199105483,0
1,8,100.15,908.55,100.94999999999999,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0,0.5178886614226713,1
0,41,78.35,3211.2,76.45714285714286,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,0,0.060432201274491386,0
0,18,78.2,1468.75,77.30263157894737,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0.5236289264836831,1
0,72,82.65,5919.35,81.08698630136986,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,0.06732934753150988,0
0,21,99.85,1992.55,90.57045454545454,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,0,0.6065622191782764,1
0,21,99.15,1956.4,88.92727272727274,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,0,0.29982081563844765,0
0,19,24.1,439.2,21.96,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,0,0.3437834119282903,0
0,61,19.75,1311.6,21.154838709677417,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,0,0.005519023323692968,0
1,17,45.05,770.6,42.81111111111111,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1,0.33239682363924217,0
0,70,106.05,7554.05,106.39507042253521,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,0,0.33253433058491194,0
1,72,114.85,8317.95,113.94452054794522,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0,0.05942367566829382,0
0,49,30.2,1453.1,29.061999999999998,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.127000019668236,0
1,11,84.8,906.85,75.57083333333334,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,1,0.6179346942336055,1
0,19,48.8,953.65,47.6825,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0,0.09715349482460343,0
0,72,84.5,6130.85,83.98424657534247,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,0,0.12548110055324496,0
0,8,19.5,159.35,17.705555555555556,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0.043128992033052746,0
0,15,91.0,1430.05,89.378125,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,0,0.6581999986646171,1
0,67,105.7,6816.95,100.24926470588235,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,0,0.1527462930991355,0
0,26,35.4,978.6,36.24444444444445,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0,0.08221103213006918,0
1,2,74.85,156.4,52.13333333333333,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1,0.8880256406743748,1
0,21,28.5,629.35,28.606818181818184,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0.2595056982108705,0
0,49,20.05,923.1,18.462,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.032355931686430445,0
0,21,19.8,350.1,15.913636363636364,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,0,0.08563611370150154,0
0,51,69.15,3649.6,70.18461538461538,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,0.23745113516163538,0
1,16,54.55,825.1,48.53529411764706,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.168849456693184,0
0,22,89.25,1907.85,82.95,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,1,0.4197243612133635,0
0,13,102.25,1359.0,97.07142857142857,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,1,0.7213394197395522,1
0,43,25.1,1070.15,24.32159090909091,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,0,0.059922063309786236,0
0,3,89.45,240.45,60.1125,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,1,0.9067859046789619,1
1,54,90.05,4931.8,89.66909090909091,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,0,0.5861847668220609,1
0,1,24.2,24.2,12.1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.6615939753884577,1
0,69,20.55,1403.1,20.044285714285714,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,0,0.008595108058699525,0
0,62,23.4,1429.65,22.692857142857143,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,0,0.008928932485075397,0
0,2,90.4,168.2,56.06666666666666,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,1,0.9087035995565869,1
1,62,96.1,6019.35,95.5452380952381,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,0,0.26152870809688306,0
1,2,44.95,85.15,28.383333333333336,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.44730309953699793,0
